STATE,ST_CASE,YEAR,MONTH,DAY,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD,TWAY_ID,TWAY_ID2,ROUTE,FUNC_SYS,FUNC_SYSNAME,RUR_URB,RUR_URBNAME,RELJCT1,RELJCT1NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,SP_JUR,SP_JURNAME,NHS,NHSNAME,RD_OWNER,RD_OWNERNAME,PEDS,FATALS,PERSONS,VE_TOTAL,COUNTY,COUNTYNAME,CITY,CITYNAME
4,40024,91,1,10,5,18,26,,,SPARKAV,,6,,,,,,,,,1,,3,,1,,8,,0,,0,,,,,,1,1,3,,19,,530,
4,40047,91,1,26,7,19,45,,,CAMPBELL,,6,,,,,,,,,1,,3,,1,,8,,0,,0,,,,,,1,1,3,,19,,530,
4,40070,91,2,7,5,6,48,,,EBROADWAY,,6,,,,,,,,,1,,3,,1,,8,,0,,0,,,,,,1,1,2,,19,,530,
4,40080,91,2,15,6,9,41,,,AVIATION,,6,,,,,,,,,1,,1,,1,,9,,0,,0,,,,,,1,1,2,,19,,530,
4,40106,91,2,28,5,16,43,,,GRANTRD,,6,,,,,,,,,3,,1,,1,,15,,0,,0,,,,,,1,1,2,,19,,530,
4,40122,91,3,8,6,17,36,,,LAPASADITA,,6,,,,,,,,,1,,5,,1,,8,,0,,0,,,,,,1,1,3,,19,,530,
4,40146,91,3,20,4,11,27,,,N1STAVE,,6,,,,,,,,,4,,1,,1,,15,,0,,0,,,,,,1,1,2,,19,,530,
4,40175,91,4,10,4,11,30,,,CARONDELET,,6,,,,,,,,,1,,1,,1,,8,,0,,0,,,,,,1,1,3,,19,,530,
4,40242,91,4,6,7,14,36,,,SPEEDWAY,,6,,,,,,,,,1,,1,,1,,8,,0,,0,,,,,,1,1,2,,19,,530,
4,40437,91,8,12,2,20,48,,,EBROADWAY,,6,,,,,,,,,1,,3,,1,,8,,0,,0,,,,,,1,1,2,,19,,530,
4,40505,91,9,7,7,19,56,,,5THST,,6,,,,,,,,,1,,2,,1,,9,,0,,0,,,,,,1,1,2,,19,,530,
4,40509,91,9,11,4,21,22,,,SNOGALESHY,,6,,,,,,,,,1,,2,,1,,8,,0,,0,,,,,,1,1,2,,19,,530,
4,40527,91,9,24,3,14,35,,,MISSIONRD,,6,,,,,,,,,1,,1,,1,,8,,0,,0,,,,,,1,1,4,,19,,530,
4,40555,91,9,23,2,6,30,,,WILMOTRD,,6,,,,,,,,,1,,1,,1,,9,,0,,0,,,,,,1,1,2,,19,,530,
4,40575,91,10,16,4,18,0,,,E22NDST,,6,,,,,,,,,1,,1,,1,,9,,0,,0,,,,,,1,1,2,,19,,530,
4,40039,92,1,4,7,1,14,,,89,,2,,,,,,,,,1,,3,,2,,8,,0,,0,,,,,,1,1,3,,19,,530,
4,40040,92,1,11,7,23,20,,,WSPEEDWAY,,6,,,,,,,,,1,,3,,1,,9,,0,,0,,,,,,1,1,2,,19,,530,
4,40042,92,1,21,3,6,40,,,EROGERRD,,6,,,,,,,,,1,,2,,1,,8,,0,,0,,,,,,1,1,3,,19,,530,
