ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,29,29,29,29,29,29,29,29,29,29
10002,0,0,0,0,0,0,0,0,15,0
10003,0,0,0,0,0,0,0,0,0,0
10004,0,0,0,0,0,0,0,0,0,0
10005,0,29,6,0,0,0,0,0,26,16
10006,0,0,0,0,0,0,0,0,0,0
10007,0,0,0,0,0,0,0,0,0,0
10008,0,0,0,0,0,0,0,0,0,0
10009,0,0,0,0,0,0,0,0,0,0
10010,0,0,0,0,0,17,0,0,0,0
10011,0,0,0,0,0,0,0,0,0,0
10012,0,20,0,0,32,0,0,0,0,0
10013,0,0,0,0,0,0,0,0,0,0
10014,25,26,15,17,0,19,33,14,14,10
10015,0,0,13,0,9,0,0,0,0,0
10016,3,3,3,3,3,3,3,3,3,3
10017,0,0,0,0,0,0,0,0,0,0
10018,0,0,0,0,0,0,0,0,0,0
10019,4,23,19,24,6,16,0,0,20,4
10020,0,0,7,0,17,0,0,0,19,15
10021,18,18,18,18,18,18,18,18,18,18
10022,0,0,0,0,0,0,3,0,0,0
10023,24,24,24,24,24,24,24,24,24,24
10024,0,0,0,0,0,0,0,0,0,0
10025,0,0,0,0,0,0,0,0,0,0
10026,0,0,0,0,0,0,0,0,0,0
10027,15,15,15,15,15,15,15,15,15,15
10028,0,0,0,0,0,0,0,0,0,0
10029,0,0,0,0,0,0,0,0,0,0
10030,0,0,0,0,0,0,13,12,13,0
10031,14,14,14,14,14,14,14,14,17,14
10032,0,0,0,0,0,0,0,0,0,0
10033,1,1,1,1,1,1,1,1,1,1
10034,31,0,0,0,0,0,0,0,24,0
10035,0,0,0,0,32,13,0,0,32,29
10036,7,7,7,7,7,7,7,7,7,7
10037,0,0,0,0,0,0,0,0,0,0
10038,0,0,0,0,0,0,0,0,0,0
10039,0,14,0,23,11,0,0,0,0,0
10040,0,0,0,0,0,0,0,0,0,0
10041,0,0,0,0,0,0,0,0,0,0
10042,23,23,23,23,23,23,23,23,23,23
10043,0,0,0,0,0,0,0,0,0,0
10044,0,0,0,0,0,0,0,0,0,0
10045,0,0,0,0,0,0,0,0,0,0
10046,0,0,0,0,0,0,0,0,0,0
10047,31,0,0,0,0,0,0,0,0,0
10048,4,4,4,4,4,4,4,4,4,4
10049,1,1,1,1,1,1,20,1,1,13
